Postcode,Sales_Rep_ID,Sales_Rep_Name,Year,Value
2009,789,Ashish,2013,86506.42432710016
2197,123,John,2011,64203.065100834436
2062,789,Ashish,2012,95385.9498904025
2206,456,Jane,2013,53130.24685901937
2119,123,John,2011,5597.4057440128845
2017,789,Ashish,2012,86748.69984840343
2132,456,Jane,2013,80783.34376108102
2066,789,Ashish,2011,65529.831818781844
2072,789,Ashish,2012,29271.216020855805
2088,123,John,2013,67071.58475075418
2196,456,Jane,2011,53379.377304386464
2163,123,John,2012,62579.197113061506
2006,456,Jane,2013,24772.925568189254
2030,789,Ashish,2011,19129.77324881757
2087,456,Jane,2012,72140.5715811411
2089,456,Jane,2013,67958.1527573605
2196,789,Ashish,2011,60643.71866915956
2138,123,John,2012,61284.72661847393
2139,456,Jane,2013,91989.48233151204
2194,456,Jane,2011,60771.1536100609
2086,123,John,2012,26037.645734014724
2122,123,John,2013,13474.81411608531
2038,123,John,2011,82932.22836949522
2061,123,John,2012,40689.83945119847
2170,123,John,2013,36190.434716837415
2135,789,Ashish,2011,46688.95604353774
2131,789,Ashish,2012,30040.11462692403
2091,123,John,2013,57249.67547077976
2042,123,John,2011,38291.8733745921
2205,456,Jane,2012,10553.573617395406
2150,456,Jane,2013,73270.08470351294
2070,456,Jane,2011,58037.66063332035
2067,456,Jane,2012,42027.34567350953
2130,123,John,2013,1512.850621066708
2091,789,Ashish,2011,32609.62120355909
2021,123,John,2012,16079.89375898048
2063,123,John,2013,52398.021721194076
2131,456,Jane,2011,66041.27160075051
2117,123,John,2012,45504.44034231037
2100,789,Ashish,2013,55364.50939069053
2147,456,Jane,2011,81415.05919177989
2161,456,Jane,2012,59929.42456408565
2095,789,Ashish,2013,48057.96706829043
2139,789,Ashish,2011,63168.250056750774
2123,789,Ashish,2012,68917.02828039227
2064,789,Ashish,2013,27359.912920568717
2125,456,Jane,2011,98235.47271052479
2152,456,Jane,2012,31708.50226296036
2111,789,Ashish,2013,39710.87430871628
2046,123,John,2011,73977.53434025327
2113,456,Jane,2012,40581.435495722864
2200,123,John,2013,58857.77935538857
2027,123,John,2011,17271.394130486893
2191,123,John,2012,7711.3254224980055
2165,123,John,2013,11815.358682802656
2050,123,John,2011,55590.756564829215
2065,789,Ashish,2012,83495.39844662749
2023,789,Ashish,2013,71675.96949792664
2069,789,Ashish,2011,42792.28346926198
2069,123,John,2012,44478.4105517881
2151,456,Jane,2013,71534.55522216558
2146,456,Jane,2011,1255.2468378404958
2037,789,Ashish,2012,41511.88187414746
2145,789,Ashish,2013,56897.92473176871
2145,456,Jane,2011,72323.54361722396
2071,789,Ashish,2012,80893.01164393935
2192,123,John,2013,11247.794614304741
2140,123,John,2011,89201.68234033289
2026,789,Ashish,2012,37880.63318290011
2033,123,John,2013,87068.0536091963
2099,123,John,2011,82289.52160730121
2125,123,John,2012,35987.13065055722
2089,789,Ashish,2013,89068.92559781786
2136,123,John,2011,83058.67323193389
2022,456,Jane,2012,1246.1057659527207
2067,123,John,2013,57862.68741039768
2127,789,Ashish,2011,70493.89254308912
2118,456,Jane,2012,13243.311492220055
2065,123,John,2013,88484.9756047204
2193,789,Ashish,2011,82687.12234553466
2073,456,Jane,2012,3158.191319284187
2026,123,John,2013,55338.70231169718
2011,789,Ashish,2011,43355.92323548884
2087,123,John,2012,9482.659707366804
2024,456,Jane,2013,43002.16347172243
2192,789,Ashish,2011,24077.818786512362
2109,456,Jane,2012,45718.95950327928
2130,789,Ashish,2013,51693.36071748243
2194,123,John,2011,66864.30686799326
2141,123,John,2012,54682.86883137869
2136,789,Ashish,2013,881.7743814025225
2033,789,Ashish,2011,76990.36580136044
2072,123,John,2012,35366.490143699404
2063,456,Jane,2013,93341.16448739836
2018,789,Ashish,2011,97167.78450655767
2164,123,John,2012,88884.53521681932
2193,456,Jane,2013,79440.29081256082
2031,123,John,2011,65643.68945365607
2130,456,Jane,2012,66247.87486872105
2116,456,Jane,2013,3195.699054497647
